placa,data_posicao,velocidade,longitude,latitude,ignicao
TESTE001,Wed Dec 12 2018 00:04:03 GMT-0200 (Hora oficial do Brasil),0,-51.469891,-25.3649141,false
CAR0012,Sun Dec 16 2018 19:15:31 GMT-0200 (Hora oficial do Brasil),0,-51.4698858,-25.3648745,false
CAR0012,Sun Dec 16 2018 19:45:34 GMT-0200 (Hora oficial do Brasil),0,-51.4698793,-25.3648978,false
TESTE001,Wed Dec 12 2018 00:34:06 GMT-0200 (Hora oficial do Brasil),0,-51.4699098,-25.3649175,false
CAR0012,Sun Dec 16 2018 21:15:43 GMT-0200 (Hora oficial do Brasil),0,-51.4699053,-25.3648945,false
TESTE001,Wed Dec 12 2018 01:04:09 GMT-0200 (Hora oficial do Brasil),0,-53.4699588,-25.3649551,false
CAR0012,Sun Dec 16 2018 20:15:37 GMT-0200 (Hora oficial do Brasil),0,-51.4698841,-25.3649161,false
CAR0012,Sun Dec 16 2018 20:45:40 GMT-0200 (Hora oficial do Brasil),0,-51.4699263,-25.3649268,false
CAR0012,Sun Dec 16 2018 21:45:47 GMT-0200 (Hora oficial do Brasil),0,-53.469924,-25.3649281,false
TESTE001,Wed Dec 19 2018 15:14:03 GMT-0200 (Hora oficial do Brasil),3,-51.5027176,-25.5358336,false
TESTE001,Wed Dec 19 2018 15:25:00 GMT-0200 (Hora oficial do Brasil),0,-51.4766121,-25.5676555,false
